split,model,mse,rmse,mae,median_ae,max_error,r2,explained_var,note
random,linear_regression,89.72090973277506,9.472112210736054,6.763456545396389,4.983433393889868,70.17868506378386,0.2356813983577768,0.23576123219779865,
random,ridge_regression,89.72090973049751,9.47211221061583,6.763456546432224,4.983433394507756,70.17868502119882,0.23568139837717883,0.23576123221679235,alpha=0.001
random,random_forest,78.87752060273903,8.881301740327205,6.29007427551475,4.465147680029986,68.4565463955978,0.3280545591027585,0.32908793359065447,"{""max_depth"": 28, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
random,hist_gradient_boosting,78.1248285526933,8.838825066302268,6.208950338278533,4.32720095714194,66.18707380457136,0.3344666266672942,0.33453867208377663,"{""l2_regularization"": 0.1, ""learning_rate"": 0.06, ""max_depth"": 6, ""max_iter"": 350, ""min_samples_leaf"": 30}"
blocked_holdout,linear_regression,73.35775750172738,8.564914331254421,7.15052742087606,6.437211363774054,52.66930490878826,-3.3890523779019563,-1.0099426455670861,
blocked_holdout,ridge_regression,73.35775765895463,8.564914340432987,7.150527434533332,6.437211347802986,52.66930462945197,-3.389052387308987,-1.0099426338319422,alpha=0.001
blocked_holdout,random_forest,76.47450949590262,8.744970525730926,7.3264566286588035,6.731785714285934,37.30159523809539,-3.5755301031928823,-1.4900051576195956,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 100}"
blocked_holdout,hist_gradient_boosting,75.52118578549738,8.69029261794431,7.196032147196405,6.507209417751142,36.40460342915344,-3.5184919951513995,-1.972138593690842,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""max_iter"": 250, ""min_samples_leaf"": 30}"
future_extrapolation,linear_regression,193.36336216018202,13.90551553018377,13.139995870660165,13.14458145801973,57.02780335588204,-29.107929489196085,-2.4848760731864794,
future_extrapolation,ridge_regression,193.36336267773405,13.905515548793366,13.139995898114314,13.144581510629223,57.02780229819837,-29.10792956978229,-2.4848760226347584,alpha=0.001
future_extrapolation,random_forest,201.68333404166734,14.201525764567247,13.545511095063267,13.271120749582451,42.21284453463181,-30.403403067858534,-1.834241569292164,"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 100}"
future_extrapolation,hist_gradient_boosting,174.8700762104682,13.223844985875637,12.34652928155858,12.008405326664843,43.53394767181953,-26.228404934093053,-2.496517891521391,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""max_iter"": 250, ""min_samples_leaf"": 30}"
